Name,assetId,isManaged,monitorDate,monitorDate2,lastScanDate,discoveryDate,dutyCycle,ipAddress,isColor,manufacturer,modelName,ppmBlack,ppmColor,serialNumber,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,pageCoverageMonochrome,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax
Color LaserJet CM3530 MFP,10.139.3.5,TRUE,8/16/2013 - 11/14/2013,7578,11/14/2013 11:54 AM,06/11/2013 12:00,75000,10.139.3.5,Color,HP,Color LaserJet CM3530 MFP,31,31,JPJL809840,65%,71%,36%,52%,,,,,75877,83455,69953,77416,5924,6039,69932,77389,5934,6049,,,,,3747,4347,,
Color LaserJet CP2025dn,,TRUE,8/16/2013 - 11/14/2013,408,11/14/2013 11:54 AM,06/11/2013 12:00,40000,10.139.3.20,Color,HP,Color LaserJet CP2025dn,21,21,CNGS707729,38%,66%,65%,66%,,,,,3883,4291,1566,1855,2317,2436,,,,,,,,,,,,
Color LaserJet CP2025n,10.139.3.29,TRUE,8/16/2013 - 11/14/2013,2432,11/14/2013 11:54 AM,06/11/2013 12:00,40000,10.139.3.29,Color,HP,Color LaserJet CP2025,21,21,CNGSB25552,97%,24%,22%,65%,,,,,24425,26857,4320,4660,20105,22197,,,,,,,,,,,,
Color LaserJet CP2025n,10.139.40.8,TRUE,8/16/2013 - 11/14/2013,836,10/16/2013 9:52 AM,06/11/2013 12:00,40000,10.139.40.8,Color,HP,Color LaserJet CP2025,21,21,CNGSC34497,30%,53%,59%,60%,,,,,7217,8053,4299,4639,2918,3414,,,,,,,,,,,,
Color LaserJet CP4005,10.139.3.17,TRUE,8/16/2013 - 11/14/2013,1384,11/14/2013 11:54 AM,6/19/2013 8:58 PM,80000,10.139.3.17,Color,HP ,Color LaserJet CP4005,30,25,JP8LD38340,23%,0%,37%,0%,,,,,39059,40443,21017,22401,18042,18042,21017,22401,18042,18042,,,,,,,,
Color LaserJet CP4020 Series,10.139.3.11,TRUE,8/16/2013 - 11/14/2013,1039,11/13/2013 4:23 PM,06/11/2013 12:00,100000,10.139.3.11,Color,HP,Color LaserJet CP4020,35,35,JPBCC472GR,51%,99%,98%,13%,,,,,9064,10103,1292,1637,7772,8466,1307,1652,7757,8451,,,,,,,,
CS 5500i,,TRUE,8/16/2013 - 11/14/2013,82268,11/14/2013 11:54 AM,06/11/2013 23:14,,10.139.80.196,Mono,Kyocera Mita,Monochrome Device,,,NHJ1700123,8%,,,,,,,,633329,715597,633329,715597,,,563163,633925,,,70166,81672,,,41553,47286,,
DP-1820E,,TRUE,8/16/2013 - 11/14/2013,506,11/14/2013 6:47 AM,7/25/2013 4:01 PM,,10.139.80.229,Mono,Panasonic,Monochrome Device,,,08002312B986,OK,,,,,,,,153983,154489,153983,154489,,,,,,,,,,,61116,61315,,
DP-8035,,TRUE,8/16/2013 - 11/14/2013,803,10/03/2013 6:21,06/11/2013 12:00,175000,10.139.114.61,Mono,PANASONIC,DP-8035,35,,08002317C032,OK,,,,,,,,49065,49868,49065,49868,,,,,,,,,,,14947,15320,,
DP-8060,,TRUE,8/16/2013 - 11/14/2013,0,9/23/2013 6:58 AM,06/11/2013 12:00,250000,10.139.114.60,Mono,PANASONIC ,DP-8060,60,,0800231817D5,OK,,,,,,,,3108,620,3108,620,,,,,,,,,,,6407,176,,
DP-8060,,TRUE,8/16/2013 - 11/14/2013,6819,9/23/2013 6:58 AM,06/11/2013 12:00,250000,10.139.114.62,Mono,PANASONIC ,DP-8060,60,,0800231817D8,OK,,,,,,,,287995,294814,287995,294814,,,,,,,,,,,326451,340378,,
FS-6525MFP,,TRUE,8/16/2013 - 11/14/2013,0,11/14/2013 11:54 AM,11/13/2013 4:23 PM,,10.139.40.36,Mono,Kyocera Mita,Monochrome Device,,,NWZ2902815,99%,,,,,,,,11,11,11,11,,,5,5,,,6,6,,,5,5,,
FS-C2626MFP,E2610,TRUE,8/16/2013 - 11/14/2013,2222,11/14/2013 11:54 AM,06/11/2013 12:00,,10.139.3.124,Color,Kyocera Mita,Color Device,,,NMM2502804,43%,50%,49%,50%,,,,,5928,8150,1626,2178,4302,5972,1221,1735,3373,4706,401,439,929,1266,1180,1507,,
FS-C2626MFP,E2666,TRUE,8/16/2013 - 11/14/2013,4259,11/14/2013 11:54 AM,06/11/2013 12:00,,10.139.40.31,Color,Kyocera Mita,Color Device,,,NMM2X04017,36%,35%,37%,43%,,,,,5949,10208,1000,1707,4949,8501,964,1641,4744,8038,4,11,205,463,815,1896,,
FS-C5350DN,E2655,TRUE,8/16/2013 - 11/14/2013,2634,11/14/2013 11:54 AM,06/11/2013 12:00,100000,10.139.3.18,Color,KYOCERA MITA,FS-C5350DN,30,30,QVQ1603483,54%,47%,83%,95%,,,,,8292,10926,2198,2737,6094,8189,2198,2737,6094,8189,,,,,,,,
HP ETHERNET MULTI-ENVIRONMENT,,TRUE,8/16/2013 - 11/14/2013,360,11/14/2013 11:54 AM,06/11/2013 12:00,,10.139.82.174,Color,HP,OfficeJet Pro 8600,18,13,CN2B5BWJ6Y05KD,20%,20%,27%,20%,,,,,682,1042,,,,,,,,,,,,,,,,
Laser Printer 5100cn,,TRUE,8/16/2013 - 11/14/2013,39,11/14/2013 11:54 AM,06/11/2013 12:00,90000,10.139.1.172,Color,DELL,5100cn,35,25,,80%,100%,100%,80%,,,,,22803,22842,,,,,,,,,,,,,,,,
Laser Printer M5200,,TRUE,8/16/2013 - 11/14/2013,1525,11/14/2013 11:54 AM,6/13/2013 12:03 PM,175000,10.139.1.181,Mono,DELL,M5200,35,,991LZBN,Unknown,,,,,,,,177910,179435,177910,179435,,,,,,,,,,,,,,
LaserJet 1200,,TRUE,8/16/2013 - 11/14/2013,328,11/14/2013 11:54 AM,06/11/2013 12:00,10000,10.139.1.126,Mono,HP,LaserJet 1200,15,,CNCX000475,Unknown,,,,,,,,74596,74924,74596,74924,,,,,,,,,,,,,,
LaserJet 1320 series,10.139.3.71,TRUE,8/16/2013 - 11/14/2013,1143,11/14/2013 11:54 AM,06/11/2013 12:00,10000,10.139.3.71,Mono,HP,LaserJet 1320,22,,CNBC48H03Y,1%,,,,,,,,66682,67825,66682,67825,,,,,,,,,,,,,,
LaserJet 2100 Series,,TRUE,8/16/2013 - 11/14/2013,72,11/14/2013 11:54 AM,06/11/2013 12:00,15000,10.139.3.34,Mono,HP,LaserJet 2100 Series,10,,XXXXXXXXXX,Unknown,,,,,,,,32526,32598,32526,32598,,,,,,,,,,,,,,
LaserJet 2100 Series,,TRUE,8/16/2013 - 11/14/2013,65,11/14/2013 11:54 AM,06/11/2013 12:00,15000,10.139.1.127,Mono,HP,LaserJet 2100 Series,10,,USGN004002,Unknown,,,,,,,,133326,133391,133326,133391,,,,,,,,,,,,,,
LaserJet 2430,,TRUE,8/16/2013 - 11/14/2013,367,8/21/2013 12:16 AM,08/12/2013 13:28,100000,10.139.80.214,Mono,HP,LaserJet 2430,35,,CNGKJ77504,13%,,,,,,,,128026,128393,128026,128393,,,128005,128372,,,,,,,,,,
LaserJet 3390,10.139.3.107,TRUE,8/16/2013 - 11/14/2013,3793,11/14/2013 11:54 AM,06/11/2013 12:00,10000,10.139.3.107,Mono,HP,LaserJet 3390,22,,CNLJP84236,89%,,,,,,,,72274,76067,72274,76067,,,,,,,,,,,,,,
