Name,assetId,isManaged,monitorDate,monitorDate2,lastScanDate,discoveryDate,dutyCycle,ipAddress,isColor,manufacturer,modelName,ppmBlack,ppmColor,serialNumber,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,pageCoverageMonochrome,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax
DocuColor 242,,TRUE,8/17/2013 - 11/15/2013,0,06/07/2013 9:11,05/09/2013 14:24,200000,10.8.43.30,Color,XEROX,Docucolor 242,55,40,DUX275531,OK,10%,30%,90%,,,,,153922,153922,20818,20818,133104,133104,5319,5319,66740,66740,,,,,,,,
Laser Printer W5300,,TRUE,8/17/2013 - 11/15/2013,656,11/15/2013 1:04 AM,05/09/2013 14:24,225000,10.8.41.19,Mono,DELL,W5300,45,,991ZZH2,Unknown,,,,,,,,41907,42563,41907,42563,,,,,,,,,,,,,,
LaserJet 1320 series,,TRUE,8/17/2013 - 11/15/2013,995,11/15/2013 1:04 AM,05/09/2013 14:24,10000,10.8.42.31,Mono,HP,LaserJet 1320,22,,CNFD53Z0JV,28%,,,,,,,,102836,103831,102836,103831,,,,,,,,,,,,,,
LaserJet 1320 series,,TRUE,8/17/2013 - 11/15/2013,2566,11/15/2013 1:04 AM,05/09/2013 14:24,10000,10.8.43.49,Mono,HP,LaserJet 1320,22,,CNHC5DF211,79%,,,,,,,,48313,50879,48313,50879,,,,,,,,,,,,,,
LaserJet 400 color M451dn,,TRUE,8/17/2013 - 11/15/2013,515,11/15/2013 1:04 AM,05/09/2013 14:24,20000,10.8.43.51,Mono,HP,LaserJet 4,8,,CNDF204869,82%,29%,12%,14%,,,,,1699,2214,572,767,1127,1447,,,,,,,,,,,,
LaserJet 400 color M451dn,,TRUE,8/17/2013 - 11/15/2013,1798,11/15/2013 1:04 AM,07/03/2013 15:26,20000,10.8.43.39,Mono,HP,LaserJet 4,8,,CNDF311640,0%,0%,19%,8%,,,,,504,2302,78,396,426,1906,,,,,,,,,,,,
LaserJet 400 M401dn,,TRUE,8/17/2013 - 11/15/2013,6095,11/15/2013 1:04 AM,05/09/2013 14:24,20000,10.8.42.36,Mono,HP,LaserJet 4,8,,VNB3X05238,67%,,,,,,,,23751,29846,23751,29846,,,,,,,,,,,,,,
LaserJet 400 M401n,,TRUE,8/17/2013 - 11/15/2013,385,11/15/2013 1:04 AM,05/09/2013 14:24,20000,10.8.42.25,Mono,HP,LaserJet 4,8,,VND3D02211,66%,,,,,,,,301,686,301,686,,,,,,,,,,,,,,
LaserJet 400 M401n,,TRUE,8/17/2013 - 11/15/2013,2949,11/15/2013 1:04 AM,05/09/2013 14:24,20000,10.8.43.29,Mono,HP,LaserJet 4,8,,VND3601831,100%,,,,,,,,5153,8102,5153,8102,,,,,,,,,,,,,,
LaserJet 4000 Series,,TRUE,8/17/2013 - 11/15/2013,1498,11/15/2013 1:04 AM,05/09/2013 14:24,65000,10.8.43.46,Mono,HP,LaserJet 4000,17,,USRB004049,OK,,,,,,,,338783,340281,338783,340281,,,,,,,,,,,,,,
