StartDate,EndDate,printermodelid,devicename,ipaddress,Serialnumber,ModelName,Manufacturer,ManagementStatus,is_color,is_copier,is_scanner,is_fax,PPM_Black,PPM_Color,DateIntroduction,DateAdoption,DiscoveryDate,BLACK_ProdCodeOEM,BLACK_Yield,BLACK_ProdCostOEM,CYAN_ProdCodeOEM,CYAN_Yield,CYAN_ProdCostOEM,MAGENTA_ProdCodeOEM,MAGENTA_Yield,MAGENTA_ProdCostOEM,YELLOW_ProdCodeOEM,YELLOW_Yield,YELLOW_ProdCostOEM,DUTY_CYCLE,WattsPowerNormal,WattsPowerIdle,StartMeterLife,EndMeterLife,StartMeterBlack,EndMeterBlack,StartMeterColor,EndMeterColor,StartMeterPrintBlack,EndMeterPrintBlack,StartMeterPrintColor,EndMeterPrintColor,StartMeterCopyBlack,EndMeterCopyBlack,StartMeterCopyColor,EndMeterCopyColor,StartMeterScan,EndMeterScan,StartMeterFax,EndMeterFax,Start11x7,End11x7,TonerLevel_Black,TonerLevel_Cyan,TonerLevel_Magenta,TonerLevel_Yellow,Black Coverage,Cyan Coverage,Magenta Coverage,Yellow Coverage,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24011,HP LaserJet P2055dn F71E,10.0.247.30,VNB3R19480,Hewlett-Packard LaserJet P2055x,Hewlett-Packard,Managed,False,False,False,False,35,,10/7/2008 12:00:00 AM,,2/7/2012 5:14:20 PM,CE505A,2300,,,,,,,,,,,50000,570,8,37490,40369,37490,40369,,,,,,,,,,,,,,,,,45%,,,,1.67,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24009,HP LaserJet P2055dn F925,10.0.249.37,CNB9332308,Hewlett-Packard LaserJet P2055dn,Hewlett-Packard,Managed,False,False,False,False,35,,10/7/2008 12:00:00 AM,,9/29/2011 12:38:21 PM,CE505A,2300,,,,,,,,,,,50000,570,8,80412,82482,80412,82482,,,,,,,,,,,,,,,,,1%,,,,2.35,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24011,HP LaserJet P2055x 2739,10.0.39.57,CNBJ556017,Hewlett-Packard LaserJet P2055x,Hewlett-Packard,Managed,False,False,False,False,35,,10/7/2008 12:00:00 AM,,2/10/2012 2:39:58 PM,CE505A,2300,,,,,,,,,,,50000,570,8,108504,113710,108504,113710,,,,,,,,,,,,,,,,,,,,,1.71,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24011,HP LaserJet P2055x 4425,10.0.68.37,CNB9970697,Hewlett-Packard LaserJet P2055x,Hewlett-Packard,Managed,False,False,False,False,35,,10/7/2008 12:00:00 AM,,9/28/2011 11:03:30 AM,CE505A,2300,,,,,,,,,,,50000,570,8,58449,59869,58449,59869,,,,,,,,,,,,,,,,,15%,,,,1.77,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24011,HP LaserJet P2055x 451E,10.0.69.30,CNB9L28046,Hewlett-Packard LaserJet P2055x,Hewlett-Packard,Managed,False,False,False,False,35,,10/7/2008 12:00:00 AM,,9/29/2011 12:38:29 PM,CE505A,2300,,,,,,,,,,,50000,570,8,52960,54017,52960,54017,,,,,,,,,,,,,,,,,7%,,,,0.38,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24011,HP LaserJet P2055x 6C1E,10.0.108.30,CNB9096389,Hewlett-Packard LaserJet P2055x,Hewlett-Packard,Managed,False,False,False,False,35,,10/7/2008 12:00:00 AM,,9/29/2011 12:38:25 PM,CE505A,2300,,,,,,,,,,,50000,570,8,47851,49415,47851,49415,,,,,,,,,,,,,,,,,91%,,,,1.21,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24011,HP LaserJet P2055x A828,10.0.168.40,CNB9729606,Hewlett-Packard LaserJet P2055x,Hewlett-Packard,Managed,False,False,False,False,35,,10/7/2008 12:00:00 AM,,9/29/2011 12:38:08 PM,CE505A,2300,,,,,,,,,,,50000,570,8,53085,53835,53085,53835,,,,,,,,,,,,,,,,,67%,,,,1.92,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24011,HP LaserJet P2055x AB20,10.0.171.32,CNB9P30345,Hewlett-Packard LaserJet P2055x,Hewlett-Packard,Managed,False,False,False,False,35,,10/7/2008 12:00:00 AM,,9/29/2011 12:38:16 PM,CE505A,2300,,,,,,,,,,,50000,570,8,22023,22328,22023,22328,,,,,,,,,,,,,,,,,75%,,,,1.44,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24011,HP LaserJet P2055x B81F,10.0.184.31,CNB9M18773,Hewlett-Packard LaserJet P2055x,Hewlett-Packard,Managed,False,False,False,False,35,,10/7/2008 12:00:00 AM,,9/29/2011 12:38:09 PM,CE505A,2300,,,,,,,,,,,50000,570,8,111426,114371,111426,114371,,,,,,,,,,,,,,,,,71%,,,,1.50,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,24011,HP LaserJet P2055x B820,10.0.184.32,CNB9P02409,Hewlett-Packard LaserJet P2055x,Hewlett-Packard,Managed,False,False,False,False,35,,10/7/2008 12:00:00 AM,,9/29/2011 12:38:09 PM,CE505A,2300,,,,,,,,,,,50000,570,8,84130,85939,84130,85939,,,,,,,,,,,,,,,,,39%,,,,1.23,,,,
