rmsVendorName,rmsReportVersion,manufacturer,modelName,rmsModelId,deviceId,rawDeviceName,managementStatus,managementProgram,serialNumber,ipAddress,isColor,isCopier,isScanner,isFax,ppmBlack,ppmColor,introductionDate,adoptionDate,oemTonerBlackSku,oemTonerBlackYield,oemTonerCyanSku,oemTonerCyanYield,oemTonerMagentaSku,oemTonerMagentaYield,oemTonerYellowSku,oemTonerYellowYield,dutyCycle,wattsOperating,wattsIdle,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax,startMeterVirtualA3Black,endMeterVirtualA3Black,startMeterVirtualA3Color,endMeterVirtualA3Color,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,monoCoverage,colorCoverage,discoveryDate,monitorStartDate,monitorEndDate
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,bc4364af-c7a5-8f73-63ca-f4adc7b9adb7,C711 B78F,Managed,,AK33025052,10.133.183.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,3350,3641,1085,1158,2265,2483,,,,,,,,,,,,,,,,,20%,50%,9%,20%,5.58,17.85,2014-04-10T14:36:58.540,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,5dfd8cf9-5980-adc3-cabc-f4b45748268b,C711 098F,Managed,,AK33000356,10.101.9.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,15121,22121,7301,10234,7820,11887,,,,,,,,,,,,,,,,,50%,60%,20%,30%,8.67,10.63,2014-04-10T14:37:12.423,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,4c49f29f-3d2b-2e76-549e-f4b9841bb83f,C711 6B8F,Managed,,AK33000563,10.103.107.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,4101,9208,1212,2674,2889,6534,,,,,,,,,,,,,,,,,60%,100%,80%,80%,5.48,19.18,2014-04-10T14:37:14.023,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,ca6eba17-cf48-2a70-9aaf-f4d37f0b1deb,C711 278F,Managed,,AK41042800,10.108.39.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,3434,11609,1461,4170,1973,7439,,,,,,,,,,,,,,,,,40%,90%,70%,80%,5.87,13.05,2014-04-13T02:10:58.120,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,1e3495c1-28a7-a8c0-55da-f4e653638c79,C711 AA8F,Managed,,AK33025026,10.139.170.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,5244,11191,2655,5779,2589,5412,,,,,,,,,,,,,,,,,30%,20%,90%,10%,8.32,0,2014-04-10T14:36:36.097,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,d4fd8efb-782e-4f31-9a9d-f50af8cdc888,C711,Managed,,AK19016013,10.124.189.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,947,8623,442,3486,505,5137,,,,,,,,,,,,,,,,,70%,100%,90%,100%,3.14,10.51,2014-05-05T23:43:27.890,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,7db5a312-af21-4ec4-995c-f45143a30dd0,C711,Managed,,AK25090715,10.116.218.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,5879,10345,1616,2923,4263,7422,,,,,,,,,,,,,,,,,90%,10%,80%,90%,3.79,0,2014-05-11T00:41:09.790,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,8f119a28-ef35-f28d-8340-f465ff9f754b,C711 0E8F,Managed,,AK33041680,10.113.14.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,13111,18676,4365,6122,8746,12554,,,,,,,,,,,,,,,,,60%,60%,90%,20%,7.09,13.78,2014-04-10T14:36:10.280,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,fc5a8f23-9c56-46e4-8068-f4819ca5b605,C711,Managed,,AK42024027,10.104.214.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,4,1617,2,143,4,1474,,,,,,,,,,,,,,,,,70%,70%,60%,70%,12.9,21.91,2014-07-15T18:06:31.807,2014-05-23T17:38:00,2014-08-21T17:38:00
PrintFleet 3,1,Oki,Oki C711n,2c4793ee-c874-4440-9a75-58be5e903420,bcf97d4e-7005-3267-3218-f4872368e93d,C711 E38F,Managed,,AK32039003,10.121.227.143,TRUE,FALSE,FALSE,FALSE,36,34,2010-05-02T00:00:00,,44318604,11000,44318603,11500,44318602,11500,44318601,11500,100000,600,1,9004,14192,2822,4193,6182,9999,,,,,,,,,,,,,,,,,90%,80%,30%,40%,11.95,20.5,2014-04-10T14:36:04.127,2014-05-23T17:38:00,2014-08-21T17:38:00
