StartDate,EndDate,printermodelid,ipaddress,Serialnumber,ModelName,Manufacturer,is_color,is_copier,is_scanner,is_fax,PPM_Black,PPM_Color,DateIntroduction,DateAdoption,DiscoveryDate,BLACK_ProdCodeOEM,BLACK_Yield,BLACK_ProdCostOEM,CYAN_ProdCodeOEM,CYAN_Yield,CYAN_ProdCostOEM,MAGENTA_ProdCodeOEM,MAGENTA_Yield,MAGENTA_ProdCostOEM,YELLOW_ProdCodeOEM,YELLOW_Yield,YELLOW_ProdCostOEM,DUTY_CYCLE,WattsPowerNormal,WattsPowerIdle,StartMeterLife,EndMeterLife,StartMeterBlack,EndMeterBlack,StartMeterColor,EndMeterColor,StartMeterPrintBlack,EndMeterPrintBlack,StartMeterPrintColor,EndMeterPrintColor,StartMeterCopyBlack,EndMeterCopyBlack,StartMeterCopyColor,EndMeterCopyColor,StartMeterScan,EndMeterScan,StartMeterFax,EndMeterFax,TonerLevel_Black,TonerLevel_Cyan,TonerLevel_Magenta,TonerLevel_Yellow,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,19657,172.16.3.47,,Konica Minolta bizhub 200,Konica Minolta,False,True,True,False,20,,10/17/2005 12:00:00 AM,,10/14/2011 11:57:20 AM,8938415,17500,,,,,,,,,,,60000,1380,,362988,380675,362988,380675,,,7735,8341,,,355248,372324,,,,,,,OK,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,200020,172.16.3.18,A1UF011003894,Konica Minolta bizhub 283,Konica Minolta,False,True,True,True,28,,1/6/2010 12:00:00 AM,,10/14/2011 11:57:20 AM,A202 051,17500,,,,,,,,,,,110000,1500,8,19181,29913,19181,29913,,,,,,,,,,,806,896,,,93%,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,23886,172.16.3.31,A0R7011001484,Konica Minolta bizhub 361,Konica Minolta,False,True,True,True,36,,9/3/2008 12:00:00 AM,,10/14/2011 11:57:21 AM,TN511,32200,,,,,,,,,,,150000,1500,,171800,178173,171800,178173,,,7737,8321,,,164105,169851,,,7494,8180,,,OK,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,23590,172.16.3.46,A0R6011009519,Konica Minolta bizhub 421,Konica Minolta,False,True,True,False,42,,6/2/2008 12:00:00 AM,,10/14/2011 11:57:21 AM,TN511,32200,,,,,,,,,,,150000,1560,,338564,358416,338564,358416,,,40,40,,,338521,358372,,,2188,2411,,,OK,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,24354,172.16.2.50,A0PP011004667,Konica Minolta bizhub 601,Konica Minolta,False,True,True,False,60,,1/12/2009 12:00:00 AM,,10/14/2011 11:57:20 AM,TN710,55000,,,,,,,,,,,300000,1500,,,,,,,,,,,,,,,,,,,,OK,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,19420,172.16.3.5,A2WU011001226,Konica Minolta bizhub 161f,Konica Minolta,False,True,True,True,16,,9/1/2005 12:00:00 AM,,11/8/2011 4:01:55 PM,,,,,,,,,,,,,16000,840,,82,25631,82,25631,,,8,28,,,75,25583,,,4,97,4,20,79%,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,19734,172.16.3.16,,Konica Minolta bizhub 750,Konica Minolta,False,True,True,False,75,,11/1/2005 12:00:00 AM,,10/14/2011 11:57:21 AM,TN710,55000,,,,,,,,,,,300000,1500,,3333201,3381981,3333201,3381981,,,124996,131124,,,3202576,3245172,,,27328,27531,5631,5685,OK,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,21527,172.16.3.14,,Konica Minolta bizhub C252,Konica Minolta,True,True,True,False,25,25,12/4/2006 12:00:00 AM,,10/14/2011 11:57:21 AM,8938509,20000,,8938512,12000,,8938511,12000,,8938510,12000,,25000,1500,,232907,239390,166902,168947,66007,70443,39102,40225,,,127801,128722,13932,14486,204,208,,,OK,OK,OK,OK,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,25592,172.16.3.8,A0P2011009199,Konica Minolta bizhub C452,Konica Minolta,True,True,True,True,45,45,2/24/2009 12:00:00 AM,,10/14/2011 11:57:21 AM,A0TM151,45000,,A0TM450,30000,,A0TM350,30000,,A0TM250,30000,,250000,1500,,237325,283545,90812,107419,146516,176126,4344,5558,,,86468,101861,132340,159502,191,224,,,89%,39%,76%,67%,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,23171,172.16.2.43,MY8BCBC4ZN04ZX,Hewlett-Packard Officejet J6400,Hewlett-Packard,True,True,True,True,31,25,3/4/2008 12:00:00 AM,,10/14/2011 11:57:21 AM,C9368AN,80,24.99,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,24750,172.16.4.233,CN12L5R0NH,Hewlett-Packard OfficeJet Pro 8500 AIO,Hewlett-Packard,True,True,True,True,35,35,3/4/2009 12:00:00 AM,,10/14/2011 11:57:20 AM,C4902AN,1000,25.99,C4903AN,900,19.99,C4908AN,1400,25.99,C4909AN,1400,25.99,15000,55,,5724,7520,2084,2686,3640,4834,1033,1362,,,867,961,,,,,188,365,13.5%,56.2%,66.7%,49.7%,
