StartDate,EndDate,printermodelid,ipaddress,Serialnumber,ModelName,Manufacturer,is_color,is_copier,is_scanner,is_fax,PPM_Black,PPM_Color,DateIntroduction,DateAdoption,DiscoveryDate,BLACK_ProdCodeOEM,BLACK_Yield,BLACK_ProdCostOEM,CYAN_ProdCodeOEM,CYAN_Yield,CYAN_ProdCostOEM,MAGENTA_ProdCodeOEM,MAGENTA_Yield,MAGENTA_ProdCostOEM,YELLOW_ProdCodeOEM,YELLOW_Yield,YELLOW_ProdCostOEM,DUTY_CYCLE,WattsPowerNormal,WattsPowerIdle,StartMeterLife,EndMeterLife,StartMeterBlack,EndMeterBlack,StartMeterColor,EndMeterColor,StartMeterPrintBlack,EndMeterPrintBlack,StartMeterPrintColor,EndMeterPrintColor,StartMeterCopyBlack,EndMeterCopyBlack,StartMeterCopyColor,EndMeterCopyColor,StartMeterScan,EndMeterScan,StartMeterFax,EndMeterFax,TonerLevel_Black,TonerLevel_Cyan,TonerLevel_Magenta,TonerLevel_Yellow
08/01/2011 0:00,09/01/2011 0:00,24036,10.12.0.227,V1205301402,Ricoh Aficio MP C4000,Ricoh,TRUE,TRUE,TRUE,FALSE,40,40,10/15/2008 12:00:00 AM,,7/25/2011 6:45:27 PM,541160,20000,,841163,15000,,841162,15000,,841161,15000,,50000,1500,99,135798,152866,35374,41789,100426,111077,28133,34368,94436,104408,7242,7417,5991,6669,,,,,30%,90%,90%,50%
08/01/2011 0:00,09/01/2011 0:00,24036,10.99.0.245,V1205200462,Ricoh Aficio MP C4000,Ricoh,TRUE,TRUE,TRUE,FALSE,40,40,10/15/2008 12:00:00 AM,,7/25/2011 6:45:27 PM,541160,20000,,841163,15000,,841162,15000,,841161,15000,,50000,1500,99,31443,34776,26045,29234,5399,5542,18782,21491,4339,4480,7265,7743,1061,1062,,,,,20%,80%,70%,70%
08/01/2011 0:00,09/01/2011 0:00,24036,10.55.48.40,V1205300210,Ricoh Aficio MP C4000,Ricoh,TRUE,TRUE,TRUE,FALSE,40,40,10/15/2008 12:00:00 AM,,7/25/2011 7:52:25 PM,541160,20000,,841163,15000,,841162,15000,,841161,15000,,50000,1500,99,56688,60769,46333,49503,10358,11266,37558,40201,9406,10301,8775,9300,955,965,,,,,60%,40%,40%,40%
08/01/2011 0:00,09/01/2011 0:00,24036,10.66.206.17,V1205300493,Ricoh Aficio MP C4000,Ricoh,TRUE,TRUE,TRUE,FALSE,40,40,10/15/2008 12:00:00 AM,,7/25/2011 7:47:31 PM,541160,20000,,841163,15000,,841162,15000,,841161,15000,,50000,1500,99,85822,94280,78561,85797,7265,8483,63644,67845,6481,7061,14921,17944,920,1422,,,,,100%,60%,60%,60%
08/01/2011 0:00,09/01/2011 0:00,0,10.100.1.65,MY838750VZ,Undefined,,TRUE,TRUE,TRUE,TRUE,0,0,01/01/2001 0:00,01/01/2001 0:00,6/27/2011 3:04:10 PM,generic,0,0,Cyan,0,0,Magenta,0,0,Yellow,0,0,100001,0,0,25031,25181,25031,25181,,,,,,,622,623,,,,,,,6.40%,OK,64%,10%
08/01/2011 0:00,09/01/2011 0:00,24760,10.100.1.58,DF2VJH1,Dell 1235cn,Dell,TRUE,TRUE,TRUE,TRUE,16,4,03/09/2009 0:00,,6/27/2011 3:04:09 PM,330-3578,1500,57.99,330-3581,1000,51.99,330-3580,1000,51.99,330-3579,1000,51.99,20000,350,15,6351,6806,6351,6806,,,,,,,,,,,,,,,45%,100%,52%,73%
08/01/2011 0:00,09/01/2011 0:00,23727,10.136.1.29,932255326,Dell 2130cn,Dell,TRUE,FALSE,FALSE,FALSE,20,16,08/05/2008 0:00,,6/27/2011 2:57:08 PM,330-1436,2500,69.99,330-1437,2500,94.99,330-1433,2500,94.99,330-1438,2500,94.99,40000,,,,,,,,,,,,,,,,,,,,,100%,80%,20%,10%
08/01/2011 0:00,09/01/2011 0:00,11066,10.100.1.71,VZL002200,Oki Okipage 14i,Oki,FALSE,FALSE,FALSE,FALSE,,,10/30/2000 12:00:00 AM,,6/27/2011 3:04:09 PM,41331701,4000,35.99,,,,,,,,,,15000,,,2811,3958,1526,2085,1295,1873,943,1267,1124,1624,584,818,179,249,,,,,15%,30%,60%,40%
08/01/2011 0:00,09/01/2011 0:00,24317,10.136.1.43,2HBDZL1,Dell 2335dn MFP,Dell,FALSE,TRUE,TRUE,TRUE,35,,,,6/27/2011 2:57:08 PM,330-2208,3000,83.99,,,,,,,,,,35000,450,80,,,,,,,,,,,,,,,,,,,92%,,,
08/01/2011 0:00,09/01/2011 0:00,24317,10.136.1.80,C8BDZL1,Dell 2335dn MFP,Dell,FALSE,TRUE,TRUE,TRUE,35,,,,6/27/2011 2:57:08 PM,330-2208,3000,83.99,,,,,,,,,,35000,450,80,,,,,,,,,,,,,,,,,,,57%,,,
