rmsVendorName,rmsReportVersion,clientName,rmsModelId,deviceId,manufacturer,modelName,rawModelName,managementStatus,managementProgram,serialNumber,ipAddress,isColor,isCopier,isScanner,isFax,isDuplex,ppmMono,ppmColor,introductionDate,adoptionDate,oemTonerBlackSku,oemTonerBlackYield,oemTonerBlackCost,oemTonerCyanSku,oemTonerCyanYield,oemTonerCyanCost,oemTonerMagentaSku,oemTonerMagentaYield,oemTonerMagentaCost,oemTonerYellowSku,oemTonerYellowYield,oemTonerYellowCost,dutyCycle,operatingWattage,standbyWattage,sleepWattage,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterA3Black,endMeterA3Black,startMeterA3Color,endMeterA3Color,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,canReportTonerLevels,pageCoverageBlack,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,discoveryDate,monitorStartDate,monitorEndDate ,lastSeenDate,location
Lexmark,1.0,BunzlDistribution,MX-4110N,1727,Sharp,MX-4110N,MX-4110N,Managed,,2510112700,172.20.13.228,,,,,,,,,,,,,,,,,,,,,,,,,,97481,108676,40319,45082,40319,45082,29760,33672,52504,57715,0,0,0,0,10486,11336,15145,17215,0,0,0,0,100,0,75,0,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,79,1891,Lexmark,C736,C736,Managed,,9425V9G,172.20.13.242,,,,,,,,,,,,,,,,,,,,,,,,,,14583,16980,5395,6213,5395,6213,4903,5708,9188,10767,0,0,0,0,0,0,0,0,0,0,0,0,42,66,94,87,Yes,,,,,01/10/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,ZTC 105SL-200dpi,1378,Zebra Technologies,ZTC 105SL-200dpi,ZTC 105SL-200dpi,Managed,,00:01:E6:A5:31:C1,172.20.13.200,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet 1320 series,2019,Hewlett-Packard,LaserJet 1320 series,LaserJet 1320 series,Managed,,CNHC62W2KD,172.20.13.203,,,,,,,,,,,,,,,,,,,,,,,,,,40136,40576,40136,40576,40136,40576,40136,40576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,Officejet Pro 8600,1936,Hewlett-Packard,Officejet Pro 8600,Officejet Pro 8600,Managed,,vnb3t0309,172.20.13.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,Officejet Pro 8610,1951,Hewlett-Packard,Officejet Pro 8610,Officejet Pro 8610,Managed,,CN481D31NR,172.20.13.62,,,,,,,,,,,,,,,,,,,,,,,,,,754,1370,180,316,180,316,180,316,574,1054,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,10/11/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,MX-4110N,1728,Sharp,MX-4110N,MX-4110N,Managed,,2510130700,172.20.13.253,,,,,,,,,,,,,,,,,,,,,,,,,,144267,163904,131751,148134,131751,148134,55921,61103,9592,11868,0,0,0,0,75476,86455,78400,90357,0,0,0,0,50,75,75,75,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,100
Lexmark,1.0,BunzlDistribution,MX-5110N,1734,Sharp,MX-5110N,MX-5110N,Managed,,2515212000,172.20.13.231,,,,,,,,,,,,,,,,,,,,,,,,,,444757,493378,226485,251133,226485,251133,132609,148497,181516,203469,0,0,0,0,93705,102390,130468,141166,0,0,0,0,50,50,75,0,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,X364dn,1737,Lexmark,X364dn,X364dn,Managed,,350DT1V,172.20.13.214,,,,,,,,,,,,,,,,,,,,,,,,,,7555,7997,7555,7997,7555,7997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,Aficio SP 8300DN,2068,Ricoh,Aficio SP 8300DN,Aficio SP 8300DN,Managed,,T424M110197,172.20.13.251,,,,,,,,,,,,,,,,,,,,,,,,,,1242,17961,1242,17961,1242,17961,1243,17961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,Yes,,,,,08/06/2014,02/21/2015,05/23/2015,05/22/2015,,
