rmsVendorName,rmsReportVersion,clientName,rmsModelId,deviceId,manufacturer,modelName,rawModelName,managementStatus,managementProgram,serialNumber,ipAddress,isColor,isCopier,isScanner,isFax,isDuplex,ppmMono,ppmColor,introductionDate,adoptionDate,oemTonerBlackSku,oemTonerBlackYield,oemTonerBlackCost,oemTonerCyanSku,oemTonerCyanYield,oemTonerCyanCost,oemTonerMagentaSku,oemTonerMagentaYield,oemTonerMagentaCost,oemTonerYellowSku,oemTonerYellowYield,oemTonerYellowCost,dutyCycle,operatingWattage,standbyWattage,sleepWattage,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterA3Black,endMeterA3Black,startMeterA3Color,endMeterA3Color,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,canReportTonerLevels,pageCoverageBlack,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,discoveryDate,monitorStartDate,monitorEndDate ,lastSeenDate,location
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1325,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,0008960037C4,172.30.20.226,,,,,,,,,,,,,,,,,,,,,,,,,,121760970,123183395,121760970,123183395,121760970,123183395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet 4240,2027,Hewlett-Packard,LaserJet 4240,LaserJet 4240,Managed,,CNRXS61488,172.30.20.204,,,,,,,,,,,,,,,,,,,,,,,,,,259780,269766,259780,269766,259780,269766,259780,269766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,141,1783,Lexmark,CS410dn,CS410dn,Managed,,5027299450274,172.30.20.209,,,,,,,,,,,,,,,,,,,,,,,,,,30709,31185,4779,4884,4779,4884,4622,4724,25930,26301,0,0,0,0,0,0,0,0,0,0,0,0,20,70,90,40,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,04/30/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet 4200,2076,Hewlett-Packard,LaserJet 4200,LaserJet 4200,Managed,,USBNL17035,172.30.20.201,,,,,,,,,,,,,,,,,,,,,,,,,,1369409,1375936,1369409,1375936,1369409,1375936,1369409,1375936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet P3010 Series,2129,Hewlett-Packard,LaserJet P3010 Series,LaserJet P3010 Series,Managed,,VNB3Y99245,172.30.20.223,,,,,,,,,,,,,,,,,,,,,,,,,,48588,58895,48588,58895,48588,58895,48588,58895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,,,,Yes,,,,,02/08/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet P3010 Series,2151,Hewlett-Packard,LaserJet P3010 Series,LaserJet P3010 Series,Managed,,VND3Q04892,172.30.20.220,,,,,,,,,,,,,,,,,,,,,,,,,,12713,16436,12713,16436,12713,16436,12713,16436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,,,,Yes,,,,,07/16/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,MINOLTA bizhub 601,1907,Konica,MINOLTA bizhub 601,MINOLTA bizhub 601,Managed,,A0PP011016496,172.30.20.215,,,,,,,,,,,,,,,,,,,,,,,,,,218339,240073,218339,240073,218339,240073,87,87,0,0,30,31,0,0,218344,239986,218344,239986,0,0,0,0,0,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1541,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,1405060D09243B,172.30.20.210,,,,,,,,,,,,,,,,,,,,,,,,,,186437173,195415549,186437173,195415549,186437173,195415549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,MINOLTA bizhub C364e,1913,Konica,MINOLTA bizhub C364e,MINOLTA bizhub C364e,Managed,,A5C1011014725,172.30.20.221,,,,,,,,,,,,,,,,,,,,,,,,,,30439,51783,23001,38348,23001,38348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,81,86,86,Yes,,,,,09/12/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet P3010 Series,2146,Hewlett-Packard,LaserJet P3010 Series,LaserJet P3010 Series,Managed,,VND3F16453,172.30.20.202,,,,,,,,,,,,,,,,,,,,,,,,,,19396,26662,19396,26662,19396,26662,19396,26662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,,,,Yes,,,,,08/07/2014,02/21/2015,05/23/2015,05/22/2015,,
