rmsVendorName,rmsReportVersion,clientName,rmsModelId,deviceId,manufacturer,modelName,rawModelName,managementStatus,managementProgram,serialNumber,ipAddress,isColor,isCopier,isScanner,isFax,isDuplex,ppmMono,ppmColor,introductionDate,adoptionDate,oemTonerBlackSku,oemTonerBlackYield,oemTonerBlackCost,oemTonerCyanSku,oemTonerCyanYield,oemTonerCyanCost,oemTonerMagentaSku,oemTonerMagentaYield,oemTonerMagentaCost,oemTonerYellowSku,oemTonerYellowYield,oemTonerYellowCost,dutyCycle,operatingWattage,standbyWattage,sleepWattage,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterA3Black,endMeterA3Black,startMeterA3Color,endMeterA3Color,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,canReportTonerLevels,pageCoverageBlack,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,discoveryDate,monitorStartDate,monitorEndDate ,lastSeenDate,location
Lexmark,1.0,BunzlDistribution,Officejet Pro 8600 N911a,1934,Hewlett-Packard,Officejet Pro 8600 N911a,Officejet Pro 8600 N911a,Managed,,CN34QBXJTH05KC,172.22.10.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,color LaserJet 5550,2044,Hewlett-Packard,color LaserJet 5550,color LaserJet 5550,Managed,,JPFC5CH00Y,172.22.10.223,,,,,,,,,,,,,,,,,,,,,,,,,,131775,131801,40178,40209,40178,40209,40178,40209,91592,91592,0,0,0,0,0,0,0,0,32,32,626,626,37,69,39,93,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,Infoprint 1572 790G5CP LS.ST.P240,1828,IBM,Infoprint 1572 790G5CP LS.ST.P240,Infoprint 1572 790G5CP LS.ST.P240,Managed,,790G5CP-54-4,172.22.10.207,,,,,,,,,,,,,,,,,,,,,,,,,,342345,345451,342345,345451,342345,345451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet P3005,1979,Hewlett-Packard,LaserJet P3005,LaserJet P3005,Managed,,CND1D45643,172.22.10.226,,,,,,,,,,,,,,,,,,,,,,,,,,57146,58292,57146,58292,57146,58292,57146,58292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,04/11/2015,,
Lexmark,1.0,BunzlDistribution,Centronics Printer/Plotter,1382,,Centronics Printer/Plotter,Centronics Printer/Plotter,Managed,,00:01:E6:A7:D2:02,172.22.10.219,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet P3010 Series,2125,Hewlett-Packard,LaserJet P3010 Series,LaserJet P3010 Series,Managed,,VNB3Y49433,172.22.10.204,,,,,,,,,,,,,,,,,,,,,,,,,,137588,153432,137588,153432,137588,153432,137588,153432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500 Cartridge,1702,Unknown,InfoPrint 6500 Cartridge,InfoPrint 6500 Cartridge,Managed,,140B08140C1605,172.22.10.216,,,,,,,,,,,,,,,,,,,,,,,,,,27961918,36700072,27961918,36700072,27961918,36700072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,01/27/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,Infoprint 1532 7918V6K LS.ST.P239,1839,IBM,Infoprint 1532 7918V6K LS.ST.P239,Infoprint 1532 7918V6K LS.ST.P239,Managed,,7918V6K-54-4,172.22.10.228,,,,,,,,,,,,,,,,,,,,,,,,,,188139,195297,188139,195297,188139,195297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,Infoprint 1532 790DWLC LS.ST.P240,1826,IBM,Infoprint 1532 790DWLC LS.ST.P240,Infoprint 1532 790DWLC LS.ST.P240,Managed,,790DWLC-54-4,172.22.10.210,,,,,,,,,,,,,,,,,,,,,,,,,,333921,345578,333921,345578,333921,345578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,Infoprint 1532 791H3HV LS.ST.P239,1840,IBM,Infoprint 1532 791H3HV LS.ST.P239,Infoprint 1532 791H3HV LS.ST.P239,Managed,,791H3HV-54-4,172.22.10.234,,,,,,,,,,,,,,,,,,,,,,,,,,425996,447813,425996,447813,425996,447813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
