rmsVendorName,rmsReportVersion,clientName,rmsModelId,deviceId,manufacturer,modelName,rawModelName,managementStatus,managementProgram,serialNumber,ipAddress,isColor,isCopier,isScanner,isFax,isDuplex,ppmMono,ppmColor,introductionDate,adoptionDate,oemTonerBlackSku,oemTonerBlackYield,oemTonerBlackCost,oemTonerCyanSku,oemTonerCyanYield,oemTonerCyanCost,oemTonerMagentaSku,oemTonerMagentaYield,oemTonerMagentaCost,oemTonerYellowSku,oemTonerYellowYield,oemTonerYellowCost,dutyCycle,operatingWattage,standbyWattage,sleepWattage,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterA3Black,endMeterA3Black,startMeterA3Color,endMeterA3Color,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,canReportTonerLevels,pageCoverageBlack,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,discoveryDate,monitorStartDate,monitorEndDate ,lastSeenDate,location
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1286,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,000896003641,172.26.10.217,,,,,,,,,,,,,,,,,,,,,,,,,,470037800,482868050,470037800,482868050,470037800,482868050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,99,1389034,Lexmark,MS312dn,MS312dn,Managed,,451444LM1H28M,172.26.10.234,,,,,,,,,,,,,,,,,,,,,,,,,,333,333,333,333,333,333,319,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,09/09/2014,02/21/2015,05/23/2015,05/21/2015,,
Lexmark,1.0,BunzlDistribution,Officejet Pro 8600 N911a,1928,Hewlett-Packard,Officejet Pro 8600 N911a,Officejet Pro 8600 N911a,Managed,,CN253BS09K05KC,172.26.10.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet 1200,1975,Hewlett-Packard,LaserJet 1200,LaserJet 1200,Managed,,CNCB529794,172.26.10.232,,,,,,,,,,,,,,,,,,,,,,,,,,20600,23784,20600,23784,20600,23784,20600,23784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,11/26/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,Zebra Printer,1413,Zebra Technologies,Zebra Printer,Zebra Printer,Managed,,00:07:4D:3C:97:43,172.26.10.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LPT1:,1488,Unknown,LPT1:,LPT1:,Managed,,00:E0:C5:5A:61:8B,172.26.10.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,Your Location Here
Lexmark,1.0,BunzlDistribution,LPT1:,1525,Unknown,LPT1:,LPT1:,Managed,,00:E0:C5:5D:C9:08,172.26.10.120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,Your Location Here
Lexmark,1.0,BunzlDistribution,LaserJet P3010 Series,2145,Hewlett-Packard,LaserJet P3010 Series,LaserJet P3010 Series,Managed,,VND3F11565,172.26.10.220,,,,,,,,,,,,,,,,,,,,,,,,,,202448,276796,202448,276796,202448,276796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,,,,Yes,,,,,06/20/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1298,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,0008960036FC,172.26.10.214,,,,,,,,,,,,,,,,,,,,,,,,,,81396902,84012346,81396902,84012346,81396902,84012346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1276,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,000896003435,172.26.10.211,,,,,,,,,,,,,,,,,,,,,,,,,,5352555,5365763,5352555,5365763,5352555,5365763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
