,Account Name,Office Depot USA,,,,,,,,,,,,,
,Create Date,Dec 21 2012,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ignore,Tag,Make,Model,Serial Number,IP Address,MAC Address,Location,Meter Date 1,Total Meter 1,BW Meter 1,Color Meter 1,Meter Date 2,Total Meter 2,BW Meter 2,Color Meter 2
,51E88231,Hewlett-Packard,LaserJet 2300 series,CNBDC65572,10.30.41.110,00-11-0A-B9-E7-1C, ,Dec 20 2012,149526,,,Dec 11 2012,149077,,
,F0DA6F16,Hewlett-Packard,LaserJet P3005,JPRFC17369,10.41.17.8,00-1F-29-1F-05-04, ,Dec 20 2012,393,703,,Dec 11 2012,244,554,
,5E357BC4,Hewlett-Packard,LaserJet 4250,CNRXS04768,10.64.19.19,00-18-FE-A7-3A-3C, ,Dec 20 2012,38788,38788,,Dec 12 2012,38600,38600,
,EEE3FB11,Hewlett-Packard,LaserJet 4250,CNGXC52965,10.64.19.18,00-11-0A-BD-E6-4A, ,Dec 20 2012,6112,8752,,Dec 12 2012,6100,8740,
,0A61E8CB,Hewlett-Packard,LaserJet 4250,CNRXL95925,10.64.19.20,00-1A-4B-30-22-23, ,Dec 20 2012,40866,161226,,Dec 12 2012,40490,160850,
,19CF4A49,Hewlett-Packard,LaserJet P3010 Series,VNBCC7C70N,10.64.19.21,3C-D9-2B-0F-E2-0B, ,Dec 20 2012,492,492,,Dec 12 2012,470,470,
,9A954D08,Hewlett-Packard,LaserJet 4250,CNDXJ09603,10.64.19.17,00-1B-78-F1-D5-0A, ,Dec 20 2012,6057,6057,,Dec 12 2012,6052,6052,
,F9D93A52,Hewlett-Packard,LaserJet P3005,CNJ1P30862,10.64.11.21,00-18-FE-A3-B9-7C, ,Dec 20 2012,192891,192851,,Dec 13 2012,192820,192780,
,E7462603,Ricoh,Aficio MP 6000,M9295300180,10.0.36.13,00-00-74-E6-DB-CC, ,Dec 20 2012,162348,162348,,Sep 26 2012,145095,145095,
,C0B826F4,Ricoh,Aficio MP 6001,V6925300343,10.30.43.67,00-26-73-43-A4-D6, ,Dec 20 2012,90629,89602,,Sep 26 2012,29426,29423,
,CD2655FB,Ricoh,Aficio MP 6001,V6905700569,10.0.36.20,00-26-73-15-54-82, ,Dec 20 2012,170279,170279,,Sep 26 2012,124738,124738,
