,Account Name,Office Depot USA,,,,,,,,,,,,,
,Create Date,Jan 11 2013,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ignore,Tag,Make,Model,Serial Number,IP Address,MAC Address,Location,Meter Date 1,Total Meter 1,BW Meter 1,Color Meter 1,Meter Date 2,Total Meter 2,BW Meter 2,Color Meter 2
,6C15E05B,Hewlett-Packard,LaserJet 4000 Series,XXXXXXXXXX,172.19.4.130,00-60-B0-06-B0-2D, ,Oct 26 2012,399140,,,Aug 22 2012,399139,,
,0219C61A,Hewlett-Packard,LaserJet 4050 Series,USQL057777,172.19.4.80,00-30-C1-8B-4D-06, ,Oct 26 2012,393750,,,Aug 22 2012,391935,,
,5ECD3257,Hewlett-Packard,LaserJet 4000 Series,USNC169701,172.19.4.48,00-60-B0-11-2F-58, ,Oct 26 2012,410710,,,Sep 6 2012,409520,,
,806C3562,Hewlett-Packard,Centronics Printer/Plotter,,172.19.4.99,00-0E-7F-3A-68-E5, ,,,,,,,,
,CF86EE68,Hewlett-Packard,Centronics Printer/Plotter,,172.19.4.94,00-30-6E-FB-7D-96, ,,,,,,,,
,87142186,Hewlett-Packard,LaserJet 600 M601,CNBCD5Z1X7,172.19.6.161,80-C1-6E-94-54-79, ,Oct 29 2012,39505,39505,,Oct 25 2012,37946,37946,
,A12012CF,Hewlett-Packard,LaserJet 4050 Series,USQF085136,172.30.10.40,00-30-C1-C4-B2-53, ,Oct 29 2012,27400,,,Aug 14 2012,27400,,
,8B96602E,Hewlett-Packard,LaserJet 4300,CNBY719532,172.19.4.89,00-01-E6-A0-68-30, ,Oct 29 2012,292404,,,Aug 14 2012,289975,,
,E7416211,Hewlett-Packard,LaserJet 4350,CNRXX00760,172.19.4.97,00-1B-78-13-C5-EA, ,Oct 29 2012,221071,221071,,Aug 14 2012,202446,202446,
,D4049CA3,Hewlett-Packard,LaserJet 4350,USBXM02721,172.19.4.137,00-11-85-D8-40-46, ,Oct 29 2012,746916,746916,,Aug 14 2012,722586,722586,
