,Account Name,Sample_2,,,,,,,,,,,,,
,Create Date,Jan 29 2013,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ignore,Tag,Make,Model,Serial Number,IP Address,MAC Address,Location,Meter Date 1,Total Meter 1,BW Meter 1,Color Meter 1,Meter Date 2,Total Meter 2,BW Meter 2,Color Meter 2
,C193EE39,Kyocera,FS-C5400DN,XVM0200942,199.244.34.121,00-C0-EE-44-A3-02,USA/IL/,Jan 25 2013,11832,4861,,Jun 29 2012,8186,3414,
,DBD9567D,Sato,CL408e,,199.244.34.28,00-60-B0-C9-D0-22,USA/IL/,,,,,,,,
,4B96A145,Hewlett-Packard,Centronics Printer/Plotter,,199.244.34.43,00-60-B0-6B-47-06,USA/IL/,,,,,,,,
,ED3D8809,Zebra,170XiIII Plus,,199.244.34.91,00-07-4D-21-C1-78,USA/IL/,,,,,,,,
,F61CA3D3,Kyocera,FS-3920DN,XVJ0Y14484,199.244.34.72,00-C0-EE-4A-D7-F4,USA/IL/,Jan 25 2013,66919,,,Jun 29 2012,45651,,
,64EF70C2,Hewlett-Packard,ZTC 220XiIIIPlus-200dpi,,199.244.34.67,00-07-4D-36-CE-61,USA/IL/,,,,,,,,
,32547CEF,Kyocera,FS-3920DN,XVJ0Y14493,199.244.34.66,00-C0-EE-4A-D8-7B,USA/IL/,Jan 25 2013,86408,,,Jun 29 2012,76003,,
,95DF2EF4,Kyocera,FS-C5400DN,XVM0100845,199.244.34.59,00-C0-EE-44-9F-0B,USA/IL/,Aug 7 2012,19174,15491,,Jun 29 2012,18247,14747,
,84C687DD,Kyocera,FS-C5400DN,XVM0100865,199.244.34.78,00-C0-EE-44-A1-C6,USA/IL/,Jan 25 2013,18733,4954,,Jun 29 2012,15507,4146,
,640C2D56,Kyocera,FS-3920DN,XVJ1Y24131,199.244.34.55,00-C0-EE-7E-CC-C2,USA/IL/,Jan 25 2013,8867,,,Jun 29 2012,5489,,
