,Account Name,Sample3,,,,,,,,,,,,,
,Create Date,Jan 29 2013,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ignore,Tag,Make,Model,Serial Number,IP Address,MAC Address,Location,Meter Date 1,Total Meter 1,BW Meter 1,Color Meter 1,Meter Date 2,Total Meter 2,BW Meter 2,Color Meter 2
,9.23E+57,Canon,iR5000,,10.10.24.211,00-00-85-08-02-7D, ,Sep 10 2012,767799,,,Jul 13 2012,767185,,
,03BC7C04,Canon,iR5000,,10.10.24.205,00-00-85-07-CF-C9, ,Dec 6 2012,996852,,,Jul 13 2012,993692,,
,7FEF3759,Canon,iR5000,,10.10.30.205,00-00-85-08-02-7B, ,Nov 20 2012,1423618,,,Jul 13 2012,1408217,,
,FB663741,Canon,iR5000,,10.10.41.201,00-00-85-08-02-6B, ,Aug 9 2012,1614438,,,Jul 13 2012,1603891,,
,D5497BE7,Canon,iR5000,,10.10.46.40,00-00-85-08-02-68, ,Nov 10 2012,946267,,,Jul 13 2012,942122,,
,F6C4D332,Canon,iR5000,,10.10.45.19,00-00-85-08-03-6C, ,Nov 27 2012,667380,,,Jul 13 2012,645647,,
,E5C4DCF2,Canon,LC800,MZR02923,10.10.44.22,00-00-85-A8-55-0B, ,Nov 27 2012,9165,,,Jul 13 2012,9062,,
,2C4F62FB,Canon,imageRUNNER 5070,,10.10.45.17,00-00-85-4A-C8-6E, ,Jul 25 2012,310600,,,Jul 20 2012,309818,,
,974D44C0,Canon,iR5000,,10.10.43.209,00-00-85-07-DA-48, ,Nov 20 2012,846994,,,Aug 10 2012,845731,,
,1B484A6D,Canon,imageRUNNER C3200,,10.10.30.204,00-C0-85-34-5C-EB, ,Oct 16 2012,1488543,,,Oct 3 2012,1488341,,
,947ECB47,Canon,imageRUNNER 5070,,10.10.21.203,00-00-85-48-C1-8F, ,Jul 25 2012,258541,,,Jul 20 2012,258267,,
,DD3BF6D1,Dell,W5300 Laser Printer,991YPCM,10.10.43.215,00-04-00-37-21-C9, ,Nov 26 2012,196386,,,Jul 12 2012,193779,,
,9918B81B,Konica Minolta,7145,,10.101.3.240,00-50-AA-22-09-07, ,Nov 1 2012,244839,,,Jul 13 2012,241051,,
,6234C4AC,Kyocera,FS-1128MFP,QRH1835423,10.12.131.109,00-C0-EE-93-66-9B, ,Jan 29 2013,9362,,,Jul 13 2012,5113,,
,BDF6BB92,Ricoh,Aficio MP 3351,V8314900309,10.10.10.30,00-26-73-1C-44-E2, ,Jan 29 2013,134897,133902,,Jul 13 2012,100763,100130,
,E02CDDC6,Ricoh,Ricoh,,10.10.12.200,00-00-74-92-75-57, ,,,,,,,,
,401D9162,Xerox,Phaser 3635MFP-S,BB1556386,10.10.44.19,9C-93-4E-16-C6-6B, ,Jan 29 2013,15382,15382,,Nov 7 2012,53,53,
,014F623C,Xerox,WorkCentre 6400X,KAA343112,10.10.21.201,00-00-AA-FA-B6-4C, ,Jan 29 2013,3745,1106,2639,Nov 7 2012,14,0,14
,B6894C62,Xerox,Phaser 4600DT,XLT282979,10.10.13.209,00-00-AA-D8-B8-E7, ,Jan 29 2013,3297,3297,,Oct 30 2012,10,10,
,1F8200E5,Xerox,WorkCentre 5335 Copier,AE9877990,10.10.30.209,08-00-37-C1-F7-03, ,Jan 29 2013,5005,5005,,Nov 20 2012,529,529,
,535163B0,Xerox,WorkCentre 5335 Copier,AE9877000,10.10.40.40,08-00-37-C1-D4-CF, ,Jan 29 2013,29403,29403,,Nov 20 2012,1500,1500,
,41434206,Xerox,WorkCentre 7535,XKK416852,10.10.45.17,9C-93-4E-15-61-D5, ,Jan 29 2013,13252,8988,4264,Nov 20 2012,1225,730,495
,0513DF81,Xerox,WorkCentre 7535,XKK416845,10.10.21.204,9C-93-4E-15-63-D4, ,Jan 29 2013,16878,6816,10062,Nov 15 2012,538,254,284
